"GeneID";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"GeneName";"aaRS";"color"
"SAOUHSC_R0004";898,332106959405;-3,03174681064812;0,978500046704051;-3,09836143683402;0,00194593943672198;0,00490068541384403;"rrsE";FALSE;"red"
"SAOUHSC_R0005";676,127774284858;-3,06440249189406;1,34334452511272;-2,28117391674851;0,0225381575577524;0,0428365954971874;"rrsF";FALSE;"red"
"SAOUHSC_R0006";19972,4732996724;-1,72839791331639;0,882313374596452;-1,95893881140238;0,0501199530808377;0,085673794797557;"rrl1";FALSE;"grey"
"SAOUHSC_R0007";19210,2020662291;-1,62570999180459;0,879861196123945;-1,84768915706969;0,0646473234484483;0,106395027635267;"rrlC";FALSE;"grey"
"SAOUHSC_R0008";2644,0607725981;-1,42076805158828;0,930874053896231;-1,52627312539389;0,126941858677214;0,189511999717347;"rrl3";FALSE;"grey"
"SAOUHSC_R0009";2469,10308004603;-1,65794873912922;0,886169039086372;-1,87091702147317;0,061356583325481;0,101824367225093;"rrlE";FALSE;"grey"
"SAOUHSC_T0001";519,413937669954;-0,737301289318646;0,655130675719283;-1,12542629530993;0,260408433548241;0,34844279146499;"trnaA";FALSE;"grey"
"SAOUHSC_T00010";92,6254226535287;0,0262714053937206;0,776382683389202;0,0338382165854551;0,973006160955957;0,979812905086356;"trnaN";FALSE;"grey"
"SAOUHSC_T00011";286,343527278095;-0,413261765775035;0,94489140858123;-0,437364296068216;0,661847173124009;0,731079167404752;"trnaD";FALSE;"grey"
"SAOUHSC_T00012";178,003553078398;-1,4432697181232;0,756155482735452;-1,90869437711681;0,0563015289556532;0,0943533588809507;"trnaD";FALSE;"grey"
"SAOUHSC_T00015";332,771973842861;0,628534263834453;0,578690340403816;1,08613228863619;0,277420468944256;0,365757625635593;"trnaC";FALSE;"grey"
"SAOUHSC_T00016";916,47689387472;0,588131852898509;0,725868010662222;0,810246276539927;0,417798645426351;0,507616316827906;"trnaQ";FALSE;"grey"
"SAOUHSC_T00018";115,736567281219;-2,05867964125254;1,54211993174797;-1,33496727386115;0,181887057673865;0,255895628980463;"trnaE";FALSE;"grey"
"SAOUHSC_T00019";765,229729853698;-1,10114609071895;0,879606536334207;-1,25186210565012;0,210620114979823;0,290638756039262;"trnaE";FALSE;"grey"
